"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"306352","ENRICO","CAPPELLETTI","MOVIMENTO 5 STELLE","proporzionale","VENETO 2 - P01","Laurea in scienze politiche; consulente aziendale nell'ambito della sostenibilità ambientale","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"305974","ROBERTO","SPERANZA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","CAMPANIA 1 - P01","Laurea in scienze politiche, Dottorato di ricerca in storia.","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306176","MATTEO","MAURI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 1 - P02","Laurea in scienze politiche; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306417","BACHISIO SILVIO","LAI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","SARDEGNA - P01","Dottorato di ricerca; Dirigente di azienda privata","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306398","FEDERICO","FORNARO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","PIEMONTE 2 - P01","Laurea in scienze politiche; Dirigente di azienda","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306189","LIA","QUARTAPELLE PROCOPIO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 1 - P01","Dottorato di ricerca in economia; Ricercatrice","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306008","CHIARA","GRIBAUDO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","PIEMONTE 2 - P02","Educatrice e parlamentare","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306497","STEFANO","VACCARI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","EMILIA-ROMAGNA - P02","Diploma di istituto tecnico industriale; Dirigente di azienda privata","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306139","NICOLA","STUMPO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","CALABRIA - P01","Diploma di istituto tecnico per geometri; Funzionario di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306412","MARIA CECILIA","GUERRA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","PIEMONTE 1 - P01","Dottorato di ricerca in economia politica; Professoressa ordinaria di scienza delle finanze","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306395","ROSANNA","FILIPPIN","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","VENETO 2 - P02","Laurea in giurisprudenza; Avvocato","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306214","LUCA","SQUERI","FORZA ITALIA","proporzionale","LOMBARDIA 3 - P02","Laurea in scienze giuridiche; Imprenditore","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306379","ISABELLA","DE MONTE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","FRIULI-VENEZIA GIULIA - P01","Laurea in giurisprudenza; Dipendente pubblico","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306158","GIUSEPPE","CASTIGLIONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 2 - P02","Diploma di liceo classico; Giornalista","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306003","FRANCESCO","BONIFAZI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","TOSCANA - P03","Laurea in giurisprudenza, Master in diritto tributario; Avvocato tributarista","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306005","DAVIDE","FARAONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 1 - P02","Laurea in scienze politiche; Professione non rilevata","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306160","MARIA ELENA","BOSCHI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LAZIO 1 - P03","Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306379","ISABELLA","DE MONTE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","FRIULI-VENEZIA GIULIA - P01","Laurea in giurisprudenza; Dipendente pubblico","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306382","MAURO","DEL BARBA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 4 - P01","Laurea in scienze dell'informazione","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306521","FILIBERTO","ZARATTI","ALLEANZA VERDI E SINISTRA","proporzionale","LAZIO 1 - P01","Laurea in scienze politiche; Consulente aziendale","MISTO (MISTO) (18.10.2022","MISTO"
"306349","STEFANO","CANDIANI",,,"LOMBARDIA 2 - P01","Diploma di liceo scientifico; IMPRENDITORE PER PACKAGING PER L' INDUSTRIA COSMETICA E PROFUMIERA","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
